Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of a healthy diet [CoHD]
Food Prices for Nutrition 1.0,FPN 1.0,High income,HIC,2017,YR2017,3.138
Food Prices for Nutrition 1.0,FPN 1.0,High income,HIC,2018,YR2018,3.198
Food Prices for Nutrition 1.0,FPN 1.0,High income,HIC,2019,YR2019,3.225
Food Prices for Nutrition 1.0,FPN 1.0,High income,HIC,2020,YR2020,3.354
Food Prices for Nutrition 1.0,FPN 1.0,High income,HIC,2021,YR2021,..
Food Prices for Nutrition 1.0,FPN 1.0,Low income,LIC,2017,YR2017,3.084
Food Prices for Nutrition 1.0,FPN 1.0,Low income,LIC,2018,YR2018,3.094
Food Prices for Nutrition 1.0,FPN 1.0,Low income,LIC,2019,YR2019,3.117
Food Prices for Nutrition 1.0,FPN 1.0,Low income,LIC,2020,YR2020,3.202
Food Prices for Nutrition 1.0,FPN 1.0,Low income,LIC,2021,YR2021,..
Food Prices for Nutrition 1.1,FPN 1.1,High income,HIC,2017,YR2017,3.138
Food Prices for Nutrition 1.1,FPN 1.1,High income,HIC,2018,YR2018,3.198
Food Prices for Nutrition 1.1,FPN 1.1,High income,HIC,2019,YR2019,3.225
Food Prices for Nutrition 1.1,FPN 1.1,High income,HIC,2020,YR2020,3.354
Food Prices for Nutrition 1.1,FPN 1.1,High income,HIC,2021,YR2021,..
Food Prices for Nutrition 1.1,FPN 1.1,Low income,LIC,2017,YR2017,3.084
Food Prices for Nutrition 1.1,FPN 1.1,Low income,LIC,2018,YR2018,3.094
Food Prices for Nutrition 1.1,FPN 1.1,Low income,LIC,2019,YR2019,3.117
Food Prices for Nutrition 1.1,FPN 1.1,Low income,LIC,2020,YR2020,3.202
Food Prices for Nutrition 1.1,FPN 1.1,Low income,LIC,2021,YR2021,..
Food Prices for Nutrition 2.0,FPN 2.0,High income,HIC,2017,YR2017,3.152
Food Prices for Nutrition 2.0,FPN 2.0,High income,HIC,2018,YR2018,3.21
Food Prices for Nutrition 2.0,FPN 2.0,High income,HIC,2019,YR2019,3.294
Food Prices for Nutrition 2.0,FPN 2.0,High income,HIC,2020,YR2020,3.363
Food Prices for Nutrition 2.0,FPN 2.0,High income,HIC,2021,YR2021,3.432
Food Prices for Nutrition 2.0,FPN 2.0,Low income,LIC,2017,YR2017,3.084
Food Prices for Nutrition 2.0,FPN 2.0,Low income,LIC,2018,YR2018,3.11
Food Prices for Nutrition 2.0,FPN 2.0,Low income,LIC,2019,YR2019,3.138
Food Prices for Nutrition 2.0,FPN 2.0,Low income,LIC,2020,YR2020,3.217
Food Prices for Nutrition 2.0,FPN 2.0,Low income,LIC,2021,YR2021,3.369
,,,,,,
,,,,,,
,,,,,,
Data from database: Food Prices for Nutrition,,,,,,
Last Updated: 07/13/2023,,,,,,
Code,Indicator Name,Long definition,Source
CoHD,Cost of a healthy diet,"The cost of a healthy diet indicator is the cost of purchasing the least expensive locally available foods to meet requirements for energy and food-based dietary guidelines (FBDGs), in current PPP$/person/day, for a representative person within energy balance at 2330 kcal/day. Data available for 2017, 2018, 2019, 2020 and 2021. PPPs in 2018, and/or 2019, and/or 2020, and/or 2021 are imputed by the Food and Agriculture Organization of the United Nations for the given countries of Argentina, Aruba, Bermuda, British Virgin Islands, Cayman Islands, Curaçao, Democratic Republic of the Congo, Dominica, Djibouti, Equatorial Guinea, Eswatini, Gabon, Kazakhstan, Liberia, Malawi, Myanmar, Sao Tome and Principe, Senegal, Seychelles, Sint Maarten (Dutch part), Suriname, Tajikistan, United Arab Emirates and Zimbabwe.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
